"Ngày","Lần cuối","Mở","Cao","Thấp","% Thay đổi"
"07/07/2021","2.077","2.077","2.077","2.077","-2.40%"
"06/07/2021","2.128","2.128","2.128","2.128","-0.28%"
"05/07/2021","2.134","2.134","2.134","2.134","-0.70%"
"02/07/2021","2.149","2.149","2.149","2.149","-0.56%"
"01/07/2021","2.161","2.161","2.161","2.161","-0.60%"
"30/06/2021","2.174","2.174","2.174","2.174","-0.23%"
"29/06/2021","2.179","2.179","2.179","2.179","-1.49%"
"28/06/2021","2.212","2.242","2.242","2.212","-0.54%"
"25/06/2021","2.224","2.194","2.224","2.194","2.35%"
"24/06/2021","2.173","2.173","2.173","2.173","-0.28%"
"23/06/2021","2.179","2.179","2.179","2.179","0.97%"
"22/06/2021","2.158","2.158","2.158","2.158","-0.83%"
"21/06/2021","2.176","2.156","2.176","2.156","2.30%"
"18/06/2021","2.127","2.147","2.147","2.127","-1.85%"
"17/06/2021","2.167","2.167","2.167","2.167","-0.05%"
"16/06/2021","2.168","2.188","2.188","2.168","-1.90%"
"15/06/2021","2.210","2.190","2.210","2.190","1.89%"
"14/06/2021","2.169","2.180","2.180","2.169","-0.55%"
"11/06/2021","2.181","2.215","2.215","2.181","-1.53%"
"10/06/2021","2.215","2.215","2.215","2.215","0.45%"
"09/06/2021","2.205","2.205","2.205","2.205","-0.72%"
"08/06/2021","2.221","2.221","2.221","2.221","-0.94%"
"07/06/2021","2.242","2.242","2.242","2.242","0.13%"